No errors
No warnings
512 ms
data source=metars
4668 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KSYR 280721Z 30003KT 6SM RA BR FEW006 OVC012 02/02 A2969 RMK AO2 P0009 T00220017 $,KSYR,2018-10-28T07:21:00Z,43.12,-76.1,2.2,1.7,300,3,,6.0,29.68996,,,,TRUE,TRUE,,,,,RA BR,FEW,600,OVC,1200,,,,,MVFR,,,,,,0.09,,,,,,SPECI,127.0
KRMG 280721Z AUTO 00000KT 8SM SCT001 07/06 A3007 RMK AO2 T00670056 PWINO $,KRMG,2018-10-28T07:21:00Z,34.35,-85.17,6.7,5.6,0,0,,8.0,30.070866,,,TRUE,TRUE,TRUE,,,,TRUE,,SCT,100,,,,,,,VFR,,,,,,,,,,,,SPECI,193.0
KPEO 280721Z AUTO 00000KT 7SM SCT007 OVC013 04/02 A2968 RMK AO2 T00390022,KPEO,2018-10-28T07:21:00Z,42.65,-77.05,3.9,2.2,0,0,,7.0,29.681103,,,TRUE,TRUE,,,,,,,SCT,700,OVC,1300,,,,,MVFR,,,,,,,,,,,,SPECI,256.0
EFIV 280720Z AUTO 32006KT 260V340 CAVOK M05/M07 Q1021,EFIV,2018-10-28T07:20:00Z,68.62,27.42,-5.0,-7.0,320,6,,6.21,30.147638,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,148.0
EFMA 280720Z AUTO 03010KT 9999 FEW040 01/M05 Q1022,EFMA,2018-10-28T07:20:00Z,60.12,19.88,1.0,-5.0,30,10,,6.21,30.177166,,,TRUE,,,,,,,,FEW,4000,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
EFRO 280720Z AUTO 33010KT CAVOK M08/M09 Q1023,EFRO,2018-10-28T07:20:00Z,66.57,25.82,-8.0,-9.0,330,10,,6.21,30.206694,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,201.0
EFOU 280720Z AUTO 01005KT 340V040 9999 BKN005/// M05/M05 Q1024,EFOU,2018-10-28T07:20:00Z,64.92,25.37,-5.0,-5.0,10,5,,6.21,30.236221,,,TRUE,,,,,,,,BKN,500,,,,,,,IFR,,,,,,,,,,,,METAR,15.0
EFVA 280720Z AUTO 35006KT CAVOK M05/M07 Q1024,EFVA,2018-10-28T07:20:00Z,63.03,21.77,-5.0,-7.0,350,6,,6.21,30.236221,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,4.0
EFTU 280720Z AUTO 01006KT 330V060 CAVOK M01/M04 Q1020,EFTU,2018-10-28T07:20:00Z,60.52,22.27,-1.0,-4.0,10,6,,6.21,30.11811,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,59.0
EFTP 280720Z AUTO 03012G25KT 9999 FEW017 M01/M04 Q1021,EFTP,2018-10-28T07:20:00Z,61.42,23.62,-1.0,-4.0,30,12,25,6.21,30.147638,,,TRUE,,,,,,,,FEW,1700,,,,,,,VFR,,,,,,,,,,,,METAR,112.0
EFHK 280720Z 36012KT 9999 FEW020 M00/M04 Q1018 NOSIG,EFHK,2018-10-28T07:20:00Z,60.32,24.97,0.0,-4.0,360,12,,6.21,30.059055,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,56.0
ENZV 280720Z VRB03KT CAVOK M04/M06 Q1026 NOSIG,ENZV,2018-10-28T07:20:00Z,58.87,5.62,-4.0,-6.0,0,3,,6.21,30.295275,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,9.0
ENVA 280720Z 13009KT 9999 FEW020 M06/M07 Q1030 NOSIG RMK WIND 670FT 16010KT,ENVA,2018-10-28T07:20:00Z,63.47,10.92,-6.0,-7.0,130,9,,6.21,30.413385,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,17.0
ENOL 280720Z 13008KT 9999 FEW010 SCT090 M01/M02 Q1029 NOSIG,ENOL,2018-10-28T07:20:00Z,63.7,9.58,-1.0,-2.0,130,8,,6.21,30.383858,,,,,,TRUE,,,,,FEW,1000,SCT,9000,,,,,VFR,,,,,,,,,,,,METAR,7.0
ENGM 280720Z 02008KT 9999 FEW038 M02/M08 Q1026 NOSIG,ENGM,2018-10-28T07:20:00Z,60.2,11.1,-2.0,-8.0,20,8,,6.21,30.295275,,,,,,TRUE,,,,,FEW,3800,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
ENDU 280720Z AUTO 00000KT 9999 NCD M12/M14 Q1026 RMK WIND 1100FT 21008KT WIND 2200FT 20008KT,ENDU,2018-10-28T07:20:00Z,69.03,18.55,-12.0,-14.0,0,0,,6.21,30.295275,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,-0.8,,,,,,,,,METAR,79.0
ENBO 280720Z 09015KT 9999 FEW020CB M03/M06 Q1027 NOSIG,ENBO,2018-10-28T07:20:00Z,67.27,14.37,-3.0,-6.0,90,15,,6.21,30.324802,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,13.0
ENBR 280720Z VRB02KT CAVOK M01/M08 Q1026 NOSIG RMK WIND 1200FT 13008KT,ENBR,2018-10-28T07:20:00Z,60.28,5.22,-1.0,-8.0,0,2,,6.21,30.295275,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,50.0
ENAN 280720Z 00000KT 9999 VCSH FEW012CB SCT049 M02/M04 Q1025,ENAN,2018-10-28T07:20:00Z,69.28,16.13,-2.0,-4.0,0,0,,6.21,30.265747,,,,,,,,,,VCSH,FEW,1200,SCT,4900,,,,,VFR,,,,,,,,,,,,METAR,14.0
MMMD 280720Z RTD 07004KT 7SM SCT030 BKN070 25/21 A3004 RMK 8/530,MMMD,2018-10-28T07:20:00Z,20.95,-89.65,25.0,21.0,70,4,,7.0,30.041338,,,,,,,,,,,SCT,3000,BKN,7000,,,,,VFR,,,,,,,,,,,,METAR,10.0
EYVI 280720Z 30009KT 270V330 9999 OVC015 03/00 Q1012 NOSIG,EYVI,2018-10-28T07:20:00Z,54.63,25.28,3.0,0.0,300,9,,6.21,29.88189,,,,,,TRUE,,,,,OVC,1500,,,,,,,MVFR,,,,,,,,,,,,METAR,197.0
EYPA 280720Z 04005KT CAVOK 03/01 Q1017,EYPA,2018-10-28T07:20:00Z,55.97,21.08,3.0,1.0,40,5,,6.21,30.029528,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,10.0
ENTO 280720Z 36010KT 9999 SCT033 M01/M07 Q1026,ENTO,2018-10-28T07:20:00Z,59.2,10.27,-1.0,-7.0,360,10,,6.21,30.295275,,,,,,,,,,,SCT,3300,,,,,,,VFR,,,,,,,,,,,,METAR,88.0
ENTC 280720Z 22011KT 9999 FEW010 SCT057 M01/M02 Q1025 RMK WIND 2600FT /////KT,ENTC,2018-10-28T07:20:00Z,69.68,18.92,-1.0,-2.0,220,11,,6.21,30.265747,,,,,,,,,,,FEW,1000,SCT,5700,,,,,VFR,,,,,,,,,,,,METAR,10.0
ENRY 280720Z 36008KT 9999 FEW038 M02/M07 Q1027,ENRY,2018-10-28T07:20:00Z,59.37,10.77,-2.0,-7.0,360,8,,6.21,30.324802,,,,,,,,,,,FEW,3800,,,,,,,VFR,,,,,,,,,,,,METAR,53.0
ENHD 280720Z 10008KT CAVOK 01/M05 Q1026,ENHD,2018-10-28T07:20:00Z,59.35,5.22,1.0,-5.0,100,8,,6.21,30.295275,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,24.0
ENCN 280720Z 03009KT 9999 FEW030 M00/M07 Q1026,ENCN,2018-10-28T07:20:00Z,58.2,8.07,0.0,-7.0,30,9,,6.21,30.295275,,,,,,,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,17.0
ENAL 280720Z 11005KT 070V140 CAVOK M00/M03 Q1028,ENAL,2018-10-28T07:20:00Z,62.57,6.12,0.0,-3.0,110,5,,6.21,30.35433,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,22.0
EYSA 280720Z 34010KT 9999 VCSH BKN010 BKN020CB 03/02 Q1014 GRN NOSIG,EYSA,2018-10-28T07:20:00Z,55.9,23.4,3.0,2.0,340,10,,6.21,29.940945,,,,,,TRUE,,,,VCSH,BKN,1000,BKN,2000,,,,,MVFR,,,,,,,,,,,,METAR,135.0
KTGI 280720Z AUTO 24013KT 10SM BKN015 OVC019 14/12 A2975 RMK AO1,KTGI,2018-10-28T07:20:00Z,37.82,-75.98,14.0,12.0,240,13,,10.0,29.749016,,,TRUE,TRUE,,,,,,,BKN,1500,OVC,1900,,,,,MVFR,,,,,,,,,,,,METAR,2.0
KSQL 280720Z AUTO 28004KT 10SM CLR 17/13 A3008 RMK AO2,KSQL,2018-10-28T07:20:00Z,37.52,-122.25,17.0,13.0,280,4,,10.0,30.079725,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1.0
KMNV 280720Z AUTO 00000KT 1/4SM FG BKN045 05/05 A3005 RMK A01,KMNV,2018-10-28T07:20:00Z,35.55,-84.38,5.0,5.0,0,0,,0.25,30.050198,,,TRUE,TRUE,,,,,,FG,BKN,4500,,,,,,,LIFR,,,,,,,,,,,,METAR,314.0
KHSD 280720Z AUTO 20011KT 10SM CLR 18/11 A2997 RMK A01,KHSD,2018-10-28T07:20:00Z,35.6,-97.72,18.0,11.0,200,11,,10.0,29.970472,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,364.0
KHAF 280720Z AUTO 34007KT 1SM BR OVC003 14/14 A3009 RMK AO2,KHAF,2018-10-28T07:20:00Z,37.52,-122.5,14.0,14.0,340,7,,1.0,30.088583,,,TRUE,TRUE,,,,,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,METAR,21.0
KGOO 280720Z AUTO 12004KT 10SM CLR 17/05 A3012 RMK AO1,KGOO,2018-10-28T07:20:00Z,39.22,-121.0,17.0,5.0,120,4,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,962.0
KFYM 280720Z AUTO 00000KT 4SM BR CLR 06/06 A3004 RMK A01,KFYM,2018-10-28T07:20:00Z,35.07,-86.57,6.0,6.0,0,0,,4.0,30.041338,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,300.0
KEDU 280720Z AUTO 18005KT 10SM CLR 16/13 A3000 RMK AO1,KEDU,2018-10-28T07:20:00Z,38.53,-121.78,16.0,13.0,180,5,,10.0,30.0,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,21.0
K4I3 280720Z AUTO 28006KT 10SM BKN011 OVC020 05/05 A2986 RMK AO2,K4I3,2018-10-28T07:20:00Z,40.33,-82.53,5.0,5.0,280,6,,10.0,29.861221,,,TRUE,TRUE,,,,,,,BKN,1100,OVC,2000,,,,,MVFR,,,,,,,,,,,,METAR,363.0
CYDL 280720Z AUTO VRB02KT 5/8SM BR BKN002 M05/M05 A2969 RMK VIS VRB 1/4-3 ICG SLP083,CYDL,2018-10-28T07:20:00Z,58.42,-130.02,-5.0,-5.0,0,2,,0.63,29.68996,1008.3,,TRUE,,,,,,,BR,BKN,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,816.0
CYKF 280720Z AUTO 30003KT 3SM -SN OVC007 00/00 A2976 RMK SLP090,CYKF,2018-10-28T07:20:00Z,43.47,-80.38,0.0,0.0,300,3,,3.0,29.760826,1009.0,,TRUE,,,,,,,-SN,OVC,700,,,,,,,IFR,,,,,,,,,,,,SPECI,317.0
EETN 280720Z 03009KT 360V060 9999 -SN FEW015 BKN025 02/M02 Q1016 R08/290195 TEMPO 3000 SNRA,EETN,2018-10-28T07:20:00Z,59.4,24.82,2.0,-2.0,30,9,,6.21,30.0,,,,,,,,,,-SN,FEW,1500,BKN,2500,,,,,MVFR,,,,,,,,,,,,METAR,40.0
PKWA 280720Z AUTO 07006KT 10SM CLR 27/25 A2978 RMK AO2 T02700252,PKWA,2018-10-28T07:20:00Z,8.72,167.72,27.0,25.2,70,6,,10.0,29.778543,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,8.0
EYKA 280720Z 30005KT 250V350 9999 OVC022 04/01 Q1014,EYKA,2018-10-28T07:20:00Z,54.97,24.08,4.0,1.0,300,5,,6.21,29.940945,,,,,,,,,,,OVC,2200,,,,,,,MVFR,,,,,,,,,,,,METAR,77.0
EKVG 280720Z AUTO 20010KT 9999NDV -SHRA BKN024/// 04/01 Q1027,EKVG,2018-10-28T07:20:00Z,62.07,-7.3,4.0,1.0,200,10,,,30.324802,,,TRUE,,,,,,,-SHRA,BKN,2400,,,,,,,,,,,,,,,,,,,METAR,85.0
EVRA 280720Z 02013KT 9999 SCT018CB BKN023 BKN026 04/01 Q1014 R36/290195 NOSIG,EVRA,2018-10-28T07:20:00Z,56.92,23.97,4.0,1.0,20,13,,6.21,29.940945,,,,,,TRUE,,,,,SCT,1800,BKN,2300,BKN,2600,,,MVFR,,,,,,,,,,,,METAR,10.0
VNKT 280720Z 12004KT 9999 FEW020 24/07 Q1022 NOSIG,VNKT,2018-10-28T07:20:00Z,27.68,85.37,24.0,7.0,120,4,,6.21,30.177166,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,1337.0
KEMK 280720Z AUTO 28006KT 10SM 24/17 A3014 RMK A01,KEMK,2018-10-28T07:20:00Z,27.82,-94.32,24.0,17.0,280,6,,10.0,30.138779,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,26.0
KWBF 280720Z AUTO 00000KT 10SM CLR 24/15 A3014 RMK A01,KWBF,2018-10-28T07:20:00Z,,,24.0,15.0,0,0,,10.0,30.138779,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KCVW 280720Z AUTO 23004KT 10SM CLR 22/20 A3010 RMK A01,KCVW,2018-10-28T07:20:00Z,29.78,-93.3,22.0,20.0,230,4,,10.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1.0
LLBG 280720Z 10010KT CAVOK 24/M01 Q1023 NOSIG,LLBG,2018-10-28T07:20:00Z,32.0,34.88,24.0,-1.0,100,10,,6.21,30.206694,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,49.0
KPHD 280720Z AUTO 28006G14KT 10SM OVC011 07/05 A2982 RMK AO2 T00670050,KPHD,2018-10-28T07:20:00Z,40.47,-81.42,6.7,5.0,280,6,14,10.0,29.819881,,,TRUE,TRUE,,,,,,,OVC,1100,,,,,,,MVFR,,,,,,,,,,,,SPECI,272.0
KELN 280720Z AUTO 30003KT 4SM RA BR OVC031 08/06 A2986 RMK AO2 P0004 T00830061 $,KELN,2018-10-28T07:20:00Z,47.03,-120.53,8.3,6.1,300,3,,4.0,29.861221,,,TRUE,TRUE,TRUE,,,,,RA BR,OVC,3100,,,,,,,MVFR,,,,,,0.04,,,,,,SPECI,519.0
KDSV 280720Z AUTO 31005KT 4SM BR OVC006 04/03 A2970 RMK AO2 CIG 005V009 T00390028,KDSV,2018-10-28T07:20:00Z,42.57,-77.72,3.9,2.8,310,5,,4.0,29.698818,,,TRUE,TRUE,,,,,,BR,OVC,600,,,,,,,IFR,,,,,,,,,,,,SPECI,198.0
EVLA 280720Z 00000KT 9999 NSC 04/02 Q1016,EVLA,2018-10-28T07:20:00Z,56.52,21.1,4.0,2.0,0,0,,6.21,30.0,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,4.0
EVVA 280720Z AUTO 03005KT CAVOK 04/01 Q1016,EVVA,2018-10-28T07:20:00Z,57.35,21.55,4.0,1.0,30,5,,6.21,30.0,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
KQFX 280720Z AUTO 21002KT 9999 FEW047 BKN065 BKN150 11/09 A2967 RMK A02 TSNO,KQFX,2018-10-28T07:20:00Z,,,11.0,9.0,210,2,,6.21,29.66929,,,TRUE,TRUE,,,TRUE,,,,FEW,4700,BKN,6500,BKN,15000,,,VFR,,,,,,,,,,,,METAR,
KQFW 280720Z AUTO 14002KT 9999 OVC028 08/08 A2971 RMK A02 TSNO,KQFW,2018-10-28T07:20:00Z,,,8.0,8.0,140,2,,6.21,29.71063,,,TRUE,TRUE,,,TRUE,,,,OVC,2800,,,,,,,MVFR,,,,,,,,,,,,METAR,
KQFV 280720Z AUTO 30005G14KT 9999 OVC027 08/05 A2969 RMK A02 TSNO,KQFV,2018-10-28T07:20:00Z,,,8.0,5.0,300,5,14,6.21,29.68996,,,TRUE,TRUE,,,TRUE,,,,OVC,2700,,,,,,,MVFR,,,,,,,,,,,,METAR,
KQFT 280720Z AUTO 15001KT 9999 FEW050 BKN070 BKN110 11/07 A2969 RMK A02 TSNO,KQFT,2018-10-28T07:20:00Z,,,11.0,7.0,150,1,,6.21,29.68996,,,TRUE,TRUE,,,TRUE,,,,FEW,5000,BKN,7000,BKN,11000,,,VFR,,,,,,,,,,,,METAR,
KQFB 280720Z AUTO 24002G13KT 9999 SCT080 18/06 A2980 RMK A02 TSNO,KQFB,2018-10-28T07:20:00Z,,,18.0,6.0,240,2,13,6.21,29.799213,,,TRUE,TRUE,,,TRUE,,,,SCT,8000,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEY 280720Z AUTO 28011G25KT 4800 SHRA OVC028 10/08 A2950 RMK A02 TSNO,KQEY,2018-10-28T07:20:00Z,,,10.0,8.0,280,11,25,2.98,29.500984,,,TRUE,TRUE,,,TRUE,,,SHRA,OVC,2800,,,,,,,IFR,,,,,,,,,,,,METAR,
KQEW 280720Z AUTO 25008G15KT 4800 // OVC046 10/09 A2977 RMK A02 TSNO,KQEW,2018-10-28T07:20:00Z,,,10.0,9.0,250,8,15,2.98,29.769686,,,TRUE,TRUE,,,TRUE,,,,OVC,4600,,,,,,,IFR,,,,,,,,,,,,METAR,
KQEV 280720Z AUTO 24004G13KT 9999 FEW043 BKN110 12/09 A2970 RMK A02 TSNO,KQEV,2018-10-28T07:20:00Z,,,12.0,9.0,240,4,13,6.21,29.698818,,,TRUE,TRUE,,,TRUE,,,,FEW,4300,BKN,11000,,,,,VFR,,,,,,,,,,,,METAR,
KQER 280720Z AUTO 32005G15KT 9999 OVC018 07/04 A2966 RMK A02 TSNO,KQER,2018-10-28T07:20:00Z,,,7.0,4.0,320,5,15,6.21,29.660433,,,TRUE,TRUE,,,TRUE,,,,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,
KQEN 280720Z AUTO 26004KT 9999 BKN008 04/05 A2961 RMK A02 TSNO,KQEN,2018-10-28T07:20:00Z,,,4.0,5.0,260,4,,6.21,29.610237,,,TRUE,TRUE,,,TRUE,,,,BKN,800,,,,,,,IFR,,,,,,,,,,,,METAR,
KQEL 280720Z AUTO 22003KT 9999 OVC049 10/06 A2975 RMK A02 TSNO,KQEL,2018-10-28T07:20:00Z,,,10.0,6.0,220,3,,6.21,29.749016,,,TRUE,TRUE,,,TRUE,,,,OVC,4900,,,,,,,VFR,,,,,,,,,,,,METAR,
LSZA 280720Z 36005KT 330V040 5000 RA BR FEW004 SCT025 BKN038 10/09 Q0997 NOSIG,LSZA,2018-10-28T07:20:00Z,46.0,8.92,10.0,9.0,360,5,,3.11,29.438976,,,,,,TRUE,,,,RA BR,FEW,400,SCT,2500,BKN,3800,,,MVFR,,,,,,,,,,,,METAR,276.0
LSZB 280720Z 33005KT 280V030 9999 BKN013 03/01 Q1001 NOSIG,LSZB,2018-10-28T07:20:00Z,46.92,7.5,3.0,1.0,330,5,,6.21,29.557087,,,,,,TRUE,,,,,BKN,1300,,,,,,,MVFR,,,,,,,,,,,,METAR,505.0
LSGG 280720Z 03011KT 9999 -RA FEW010 BKN013 04/03 Q1001 TEMPO RA,LSGG,2018-10-28T07:20:00Z,46.25,6.12,4.0,3.0,30,11,,6.21,29.557087,,,,,,,,,,-RA,FEW,1000,BKN,1300,,,,,MVFR,,,,,,,,,,,,METAR,416.0
LSZH 280720Z 05007KT 010V100 5000 -RA FEW006 SCT009 BKN014 03/01 Q1002 TEMPO 4000,LSZH,2018-10-28T07:20:00Z,47.48,8.53,3.0,1.0,50,7,,3.11,29.586615,,,,,,,,,,-RA,FEW,600,SCT,900,BKN,1400,,,MVFR,,,,,,,,,,,,METAR,432.0
LSZL 280720Z AUTO 07007KT 8000NDV +RA FEW031 SCT037 09/08 Q0998 RMK,LSZL,2018-10-28T07:20:00Z,46.17,8.88,9.0,8.0,70,7,,,29.468504,,,TRUE,,,,,,,+RA,FEW,3100,SCT,3700,,,,,,,,,,,,,,,,,METAR,600.0
LSZC 280720Z AUTO 32008KT 260V360 9999 OVC011 04/02 Q1001 REDZ,LSZC,2018-10-28T07:20:00Z,46.97,8.38,4.0,2.0,320,8,,6.21,29.557087,,,TRUE,,,,,,,,OVC,1100,,,,,,,MVFR,,,,,,,,,,,,METAR,450.0
